iter	Accuracy	MultiClass
124	0.5129667425	1.007011255
125	0.5130900076	1.006912938
126	0.5133891235	1.006377543
127	0.5135887375	1.005912562
128	0.5137550332	1.005760677
129	0.5136221763	1.005635566
130	0.5138969438	1.005444359
131	0.5136770476	1.005183134
132	0.513732374	1.005033196
133	0.5143933721	1.004760023
134	0.514781504	1.004390931
135	0.5146764078	1.004174259
136	0.5147981353	1.004043043
137	0.5147873405	1.003918442
138	0.5155533508	1.003596612
139	0.5160359715	1.002779681
140	0.516847073	1.002555231
141	0.5165945676	1.002185575
142	0.5167893513	1.001987897
143	0.5169826156	1.00183954
144	0.5170433104	1.001608554
145	0.5170679677	1.0012894
146	0.5173685664	1.001079339
147	0.51679597	1.000980075
148	0.5176546989	1.000735698
149	0.51783385	1.00050811
150	0.5184486011	1.00036624
151	0.518577907	1.000138117
152	0.519831235	0.9990742368
153	0.5198612897	0.9989142703
154	0.5203625634	0.998697062
155	0.5212469277	0.9980757703
156	0.5214372739	0.9979234668
157	0.5223071978	0.9977255842
158	0.5222019057	0.9974026771
159	0.522281246	0.9972000184
160	0.5224940866	0.9970783345
161	0.5232002125	0.9969417793
162	0.5228237802	0.9965424091
163	0.5233341991	0.9964009183
164	0.5238132216	0.9960880608
165	0.5245684371	0.9958884076
166	0.5246790899	0.9956769973
167	0.5242811231	0.9953792907
168	0.5243280317	0.9950892447
169	0.5243289549	0.9949503882
170	0.5244301462	0.9947762887
171	0.5241006958	0.9946912635
172	0.5243451287	0.9945802778
173	0.5249479295	0.9943958973
174	0.5249770976	0.9941634565
175	0.5255451833	0.9938318752
176	0.5255851934	0.9935980046
177	0.5260627513	0.9927058078
178	0.5271563656	0.9919880922
179	0.527319884	0.9918387826
180	0.5275462235	0.9915351591
181	0.5277698223	0.9912614556
182	0.528143077	0.9910600746
183	0.5283279891	0.9909319112
184	0.5282098417	0.9907972965
185	0.5279979243	0.9906289513
186	0.5297099063	0.9899873029
187	0.5299257673	0.9898826834
188	0.5295943499	0.9893394024
189	0.5297332111	0.9890201486
190	0.5304237042	0.9889389588
191	0.5301712171	0.9887414681
192	0.5298588455	0.9884995577
193	0.5309190135	0.9882271282
194	0.5302648956	0.9880262406
195	0.5302318495	0.9878719306
196	0.5300936685	0.9873964388
197	0.5303070686	0.9872753519
198	0.5304892035	0.9870230759
199	0.5307111054	0.9868057798
200	0.5311017735	0.9860813332
201	0.5310605894	0.9859237083
202	0.5315100047	0.9855793616
203	0.5323414562	0.9854764519
204	0.5324719361	0.9851145173
205	0.5320406433	0.9846954658
206	0.5322738522	0.9835089577
207	0.531499126	0.9832934227
208	0.5319569591	0.9830595337
209	0.5319005792	0.9823895561
210	0.5319354718	0.9819577271
211	0.5333398834	0.9816715903
212	0.5338286945	0.9815360716
213	0.5339997075	0.9811840584
214	0.534030042	0.9804632877
215	0.5342241456	0.9802225589
216	0.5345556567	0.9799129045
217	0.5350847759	0.9797323523
218	0.5355743973	0.9795667911
219	0.5358941902	0.979393711
220	0.5363338642	0.9792110823
221	0.5363855924	0.978985126
222	0.5371413202	0.9780309788
223	0.5373618986	0.9777689108
224	0.5378681231	0.9774234638
225	0.5382968796	0.9767622557
226	0.5388571436	0.9765804961
227	0.5389360546	0.9752175962
228	0.5389796447	0.975019041
229	0.5390084964	0.9747238776
230	0.5390618462	0.9745222989
231	0.5393537473	0.9743282334
232	0.5396901327	0.974067212
233	0.540239377	0.9729488166
234	0.5404910248	0.9726682209
235	0.5398933707	0.9725065962
236	0.541180315	0.9710204518
237	0.5411637591	0.9708710147
238	0.5415725498	0.9707467549
239	0.5412362849	0.9704471703
240	0.5413414564	0.9702469415
241	0.5419628446	0.9699892647
242	0.5426208222	0.9697502572
243	0.5426235628	0.9695784381
244	0.5428997474	0.9694702993
245	0.5427467074	0.969228402
246	0.5421036275	0.9688180306
247	0.5427037059	0.9684980053
248	0.5426534971	0.9682971058
249	0.5436295707	0.9680823816
250	0.5438661454	0.9679061539
251	0.5442069684	0.9673902986
252	0.5449497676	0.9670835787
253	0.5448031321	0.9668134534
254	0.5442244109	0.9666562626
255	0.5452930333	0.9663290159
256	0.5452088552	0.9661971195
257	0.5454992186	0.9655447306
258	0.5456696721	0.9654541492
259	0.5460273308	0.9652376368
260	0.5459175645	0.9650518811
261	0.5470157659	0.9648187904
262	0.5476304332	0.964363701
263	0.5482175722	0.9640954931
264	0.5479792167	0.963889866
265	0.5485448782	0.9635916194
266	0.549631241	0.9632644504
267	0.5496270466	0.9631711092
268	0.5505286545	0.9628973097
269	0.5502899826	0.9625821468
270	0.550449623	0.9621330288
271	0.5504556272	0.9620016826
272	0.551219111	0.9618093193
273	0.5511545092	0.9614517104
274	0.5510195627	0.961108517
275	0.5512272857	0.9607699776
276	0.5511898957	0.9605277822
277	0.5512172646	0.9604098125
278	0.552697782	0.9601002
279	0.5526773481	0.9600004715
280	0.5525393812	0.9598027193
281	0.5535716572	0.9595363924
282	0.5532599	0.9592901901
283	0.5541454749	0.9590123254
284	0.5541881235	0.9586686415
285	0.5541809087	0.9584277781
286	0.5550958583	0.9581871391
287	0.5552191233	0.9580432092
288	0.5557689928	0.9578338314
289	0.5558681236	0.9575169465
290	0.5557180674	0.9572847192
291	0.5560211269	0.9570953273
292	0.5562462634	0.9569025821
293	0.5565279293	0.9566504827
294	0.5562934152	0.9564367401
295	0.5568363496	0.9562348716
296	0.5567840436	0.9560479918
297	0.5577775964	0.9557828657
298	0.5568659104	0.9553456893
299	0.5575663591	0.9550700656
300	0.5575747403	0.9549371906
301	0.5579917057	0.9547016245
302	0.5576393239	0.9545394173
303	0.5577180207	0.9543135202
304	0.558267192	0.954068401
305	0.5586748636	0.9533943848
306	0.5585273048	0.953088764
307	0.558957089	0.9528674979
308	0.5598354491	0.9525638323
309	0.5603810952	0.9520974855
310	0.5610000224	0.9519185039
311	0.5608521001	0.9517514505
312	0.5611785301	0.9515286038
313	0.561950508	0.9512379098
314	0.5623601929	0.9509596068
315	0.5625092893	0.9507230361
316	0.5635318896	0.9505033363
317	0.5638685549	0.9502661644
318	0.5643498423	0.9500067547
319	0.5640002012	0.9498598649
320	0.5641382047	0.949721803
321	0.5642242002	0.9495388972
322	0.5646240502	0.9491815745
323	0.5645969793	0.9489938368
324	0.5644000511	0.9487856332
325	0.5643269948	0.9485759433
326	0.5652218818	0.9483998513
327	0.564954638	0.9482205596
328	0.5650496109	0.9481057231
329	0.5655720458	0.9477479762
330	0.5659098302	0.9469231764
331	0.565697306	0.9466908079
332	0.5656365456	0.9464517508
333	0.5656507244	0.9462407279
334	0.5655057859	0.9460812199
335	0.5653527459	0.9458134715
336	0.566021882	0.9454942737
337	0.5659737337	0.945289056
338	0.5660723049	0.9451352752
339	0.5661874137	0.9448055816
340	0.5663606078	0.9444030677
341	0.5670396627	0.944189994
342	0.5672890928	0.9439840247
343	0.5675367894	0.9437632136
344	0.5677592508	0.9435648374
345	0.5684779705	0.9434025385
346	0.5685461523	0.9432015733
347	0.5684388835	0.9428888123
348	0.5692673985	0.9426460106
349	0.5693205804	0.9424048772
350	0.5695883472	0.9421859132
351	0.5696485115	0.9419777276
352	0.5695833501	0.941815546
353	0.5702831553	0.9415979735
354	0.5706564939	0.9413267391
355	0.571260432	0.9411622672
356	0.5714077109	0.9409251255
357	0.5716764375	0.9408031492
358	0.5715447546	0.9406245618
359	0.5714633171	0.9404923814
360	0.5717083387	0.9403057854
361	0.5717861962	0.9400890769
362	0.5721384574	0.9397648006
363	0.5718802093	0.9395868411
364	0.572174851	0.9393589323
365	0.5721868488	0.9392631937
366	0.5724420766	0.9390180053
367	0.5732347758	0.9388546629
368	0.5731271433	0.9386142849
369	0.5731505976	0.9383971728
370	0.5740248	0.938224505
371	0.5743164213	0.9380384042
372	0.5743822627	0.9378786481
373	0.5745836651	0.9377452453
374	0.5744736557	0.9376535903
375	0.5745918031	0.9374943642
376	0.5747767153	0.9371001308
377	0.5744185724	0.9370032476
378	0.5746572443	0.9367086267
379	0.5744446835	0.9365315104
380	0.5744735718	0.9362633947
381	0.5745015293	0.9361083511
382	0.5746659419	0.9357436248
383	0.5748847577	0.9355755877
384	0.5752536588	0.9355101023
385	0.5750681322	0.9353936514
386	0.5751571482	0.9352905214
387	0.5748889812	0.9351041186
388	0.5750792907	0.9349874807
389	0.5749713419	0.9348660583
390	0.575057897	0.934720504
391	0.575805534	0.9344192209
392	0.575760686	0.9340884431
393	0.5760185339	0.9337125575
394	0.5757136203	0.9334462872
395	0.5759009094	0.9333003255
396	0.5762378544	0.9330646284
397	0.5769575339	0.9329769776
398	0.5773023006	0.9327391823
399	0.5773723655	0.9325817305
400	0.5776745019	0.9323901251
401	0.5774932536	0.932216532
402	0.5777547654	0.9321314583
403	0.5783309418	0.9317236428
404	0.5781346571	0.9315716622
405	0.5781052458	0.9314034321
406	0.5782233933	0.9312374548
407	0.5782787197	0.9310079861
408	0.5784157634	0.9309003296
409	0.5792583734	0.930743714
410	0.5793255954	0.9305479288
411	0.5795757055	0.9304536496
412	0.5799884108	0.9302738574
413	0.5798204182	0.9301868615
414	0.5798904175	0.9300244335
415	0.5802132675	0.929730547
416	0.5802616955	0.9295953293
417	0.5801723997	0.9294924263
418	0.5798255359	0.9292670439
419	0.5806035074	0.9290803416
420	0.5808547549	0.9288571194
421	0.5812325676	0.9287054384
422	0.5814907792	0.9285279334
423	0.5819230608	0.9284413884
424	0.5821782886	0.9282846984
425	0.5820863361	0.9281204166
426	0.5821698708	0.9278816494
427	0.5818631946	0.9276796531
428	0.5819777438	0.927374048
429	0.5821827262	0.9271977458
430	0.5821115239	0.9269663653
431	0.5820682135	0.9268206378
432	0.5826513723	0.926559462
433	0.5839247811	0.9263327563
434	0.5842710854	0.9260951239
435	0.5843603812	0.9259677859
436	0.5841535814	0.925763291
437	0.5847196431	0.925539718
438	0.5854263468	0.9252284219
439	0.5855673051	0.9250983488
440	0.5860969	0.9247546994
441	0.5864165155	0.9246345314
442	0.5865745526	0.9244213826
443	0.5868039491	0.9241431719
444	0.586959366	0.924092844
445	0.587410021	0.9238901209
446	0.5871910093	0.9235903924
447	0.5875505692	0.9233344783
448	0.5884473026	0.9231831597
449	0.5882705285	0.9230217146
450	0.5881208726	0.9228815615
451	0.5883625649	0.9227480878
452	0.5882233035	0.922599184
453	0.5887950897	0.9223815326
454	0.58941164	0.9222914776
455	0.5891383554	0.9221840344
456	0.5892753991	0.9219852568
457	0.589063416	0.9218018896
458	0.5899923013	0.921512695
459	0.5892346722	0.921233569
460	0.5893401236	0.9209978944
461	0.5893464442	0.9209492711
462	0.5896100532	0.9207884917
463	0.5901259534	0.9206468559
464	0.5905389385	0.9204663649
465	0.5905339047	0.9202188453
466	0.5905155315	0.919988134
467	0.5902915324	0.9198557256
468	0.5909865546	0.9196606716
469	0.5910661747	0.9194979615
470	0.5912595412	0.9192893123
471	0.5914488909	0.9191384428
472	0.5915874722	0.9190317021
473	0.5921481366	0.9188329455
474	0.5923600173	0.918624427
475	0.5917316941	0.9185124663
476	0.5921447997	0.9184358756
477	0.5925199375	0.9181889027
478	0.5923720151	0.9180274786
479	0.5921744908	0.9179309409
480	0.5922096631	0.9177044176
481	0.5924699719	0.9174841875
482	0.5931178348	0.917361218
483	0.5929897318	0.9171621601
484	0.5933098412	0.9170788617
485	0.5934075548	0.9169066453
486	0.5934992458	0.9166785947
487	0.5930888808	0.9164698698
488	0.5936509623	0.916214664
489	0.5937173815	0.9160114547
490	0.5944069515	0.9158360998
491	0.5945245211	0.9156399156
492	0.5949104719	0.9154490762
493	0.5950065822	0.9153402485
494	0.5945638512	0.9151025059
495	0.5953225629	0.91492992
496	0.5951972188	0.9147347617
497	0.5957896714	0.9145338253
498	0.5957638401	0.9144544397
499	0.5959186975	0.9142618445
500	0.5957611833	0.9140751142
501	0.5953352224	0.9138530983
502	0.5959081825	0.9136430776
503	0.5956926851	0.9135319666
504	0.5958777932	0.9132712335
505	0.596047883	0.9131560833
506	0.596069763	0.9129806229
507	0.5959182897	0.9128333357
508	0.5974032156	0.9126114345
509	0.5976921329	0.9124721726
510	0.597930525	0.9123575977
511	0.5984519819	0.9121344599
512	0.5983470901	0.9120499038
513	0.5980962999	0.9117641332
514	0.5976594968	0.9115443198
515	0.5976991067	0.9114461515
516	0.5974228565	0.9112716349
517	0.5975860951	0.9110910344
518	0.5975902895	0.9110120549
519	0.5975166188	0.9108021567
520	0.5971907484	0.9107286269
521	0.5976345231	0.910553152
522	0.5983719615	0.9103758399
523	0.5975223509	0.9101797083
524	0.5982651867	0.9100664666
525	0.5983238133	0.9098401273
526	0.5987501379	0.9097211629
527	0.5986187348	0.9095478483
528	0.5990005279	0.9093988759
529	0.5996652264	0.9091919932
530	0.5995962623	0.9088942986
531	0.5993429176	0.9086774056
532	0.5991096431	0.9085734519
533	0.5994140359	0.9084301738
534	0.5993502917	0.9083231098
535	0.5997507484	0.9080916724
536	0.5994295199	0.907918095
537	0.5996898653	0.9077775696
538	0.5997204796	0.9075730937
539	0.5997356281	0.9074624589
540	0.5995755776	0.907258499
541	0.6002306187	0.9071366242
542	0.6002734449	0.9069210562
543	0.6007845073	0.90673649
544	0.6004995412	0.9064984058
545	0.6005058618	0.9064567064
546	0.600708747	0.9063000402
547	0.6007294606	0.9061361845
548	0.6015381013	0.905926245
549	0.6016793394	0.9056833499
550	0.602118556	0.9055543484
551	0.602527067	0.9054078586
552	0.6021824132	0.9051122518
553	0.6022001064	0.9048751914
554	0.6018868116	0.9047452843
555	0.6026010755	0.9044914238
556	0.602579402	0.9042353563
557	0.6024110091	0.9040518992
558	0.6023875548	0.9039034198
559	0.6026475838	0.9037676056
560	0.6031855675	0.9036195604
561	0.6034455965	0.9035035309
562	0.60446292	0.9032628786
563	0.6045181625	0.9030804341
564	0.6043564539	0.9028739881
565	0.6042352861	0.9028270062
566	0.6038303551	0.9026536771
567	0.6041904747	0.9025807476
568	0.6050875717	0.90233059
569	0.6051771473	0.9021818566
570	0.6055630981	0.9020650513
571	0.605490936	0.9019267739
572	0.6062619434	0.9017260641
573	0.6063969265	0.901474704
574	0.6066575151	0.9013063437
575	0.607057365	0.9011092685
576	0.6071385227	0.9009916657
577	0.6077734097	0.900786796
578	0.6076389862	0.9006632926
579	0.6079221058	0.9005033485
580	0.6083988351	0.9004002921
581	0.6083411317	0.9001877945
582	0.6083038622	0.9000695498
583	0.6084043164	0.8999135775
584	0.6085476808	0.8997555844
585	0.6087490831	0.8994530293
586	0.6082305262	0.8992761081
587	0.6083099031	0.8990613896
588	0.6081601633	0.8989102515
589	0.6083705064	0.8987629638
590	0.6088941444	0.8985498091
591	0.6090435205	0.898381763
592	0.609348957	0.8981920943
593	0.6096802249	0.8979441679
594	0.6098554323	0.8977565501
595	0.6102350915	0.8975258263
596	0.6104377335	0.8973556314
597	0.6104172996	0.8972780951
598	0.6102474896	0.8970495766
599	0.6110143575	0.896838647
600	0.611051627	0.8967086594
601	0.6111354415	0.8965884888
602	0.6110708031	0.8964782402
603	0.6115623257	0.896256103
604	0.6115728041	0.8961068309
605	0.6116641971	0.8959690192
606	0.6117465578	0.8958624306
607	0.6116804366	0.8957239333
608	0.6117393796	0.8955796148
609	0.6115232022	0.8954044347
610	0.6113843411	0.8952734433
611	0.6118307359	0.8951211591
612	0.6118842816	0.8948699973
613	0.6124576054	0.8947289529
614	0.6125390429	0.8945827516
615	0.6125068909	0.8944996977
616	0.6124804162	0.8942890243
617	0.6128014488	0.8941204095
618	0.612586511	0.8940070146
619	0.612899722	0.8937814481
620	0.6133879078	0.8936108294
621	0.6136496703	0.89346471
622	0.6137918316	0.89334304
623	0.6137292904	0.8932129565
624	0.6140442821	0.8930453933
625	0.6142604229	0.892907511
626	0.6141599687	0.8927845138
627	0.6140836489	0.8926441295
628	0.6139880325	0.8925368372
629	0.6144130993	0.8924737517
630	0.6140274282	0.892344678
631	0.6139041632	0.8921386323
632	0.6143096537	0.8919228328
633	0.6146911303	0.8917432737
634	0.6143138115	0.8914707462
635	0.6148056139	0.8912735555
636	0.6147640661	0.8910826251
637	0.6153800568	0.890948137
638	0.6154885652	0.8908248536
639	0.6153754988	0.8906286304
640	0.6156199317	0.8903719803
641	0.6160570512	0.8901869807
642	0.6158748797	0.8900553084
643	0.6158036408	0.8899638419
644	0.6160465362	0.8898700214
645	0.6161616632	0.8897997925
646	0.616552397	0.8895866207
647	0.6165863663	0.8894418845
648	0.6173478186	0.8891655663
649	0.6172534052	0.8890304437
650	0.6171298604	0.8889152124
651	0.6171581525	0.8887203779
652	0.617702261	0.8884957869
653	0.6181138289	0.8883010623
654	0.6181312424	0.8881995977
655	0.6182358544	0.8881400637
656	0.6181177069	0.8880499711
657	0.617721735	0.8879350708
658	0.6179715653	0.8877790581
659	0.6178747384	0.8875741812
660	0.6181332663	0.8873975196
661	0.6184532455	0.8872069737
662	0.6180293817	0.8870808596
663	0.6183143844	0.8867962483
664	0.6183440754	0.886641104
665	0.6178336565	0.8865365232
666	0.6182521595	0.8863823738
667	0.61871471	0.8862120804
668	0.6185106509	0.886069226
